step,epoch,loss,eval_loss,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,num_tokens,eval_num_tokens,train_loss
20,0.097799511002445,1.9899,,0.5816076971590519,,1.2684987217187882,,3.8871660232543945,7.307692307692307e-05,,,,,,,,154686.0,,
40,0.19559902200489,0.4275,,0.8892320245504379,,1.1251931011676788,,5.199487209320068,0.00015000000000000001,,,,,,,,316009.0,,
60,0.293398533007335,0.3341,,0.9180094122886657,,1.0465465232729911,,4.384832859039307,0.0001999744599547812,,,,,,,,466218.0,,
80,0.39119804400978,0.2959,,0.9262534663081169,,0.945007786154747,,2.25034761428833,0.00019962025109127808,,,,,,,,623974.0,,
100,0.4889975550122249,0.1709,,0.9584621533751487,,0.8966206252574921,,2.7585980892181396,0.0001988507720284527,,,,,,,,783563.0,,
100,0.4889975550122249,,0.51601642370224,,0.9094664532205333,,0.8954103964826335,,,13.1461,55.301,3.499,,,,,,783563.0,
120,0.58679706601467,0.2706,,0.939162902534008,,0.9553739443421364,,1.9657810926437378,0.00019766923036436165,,,,,,,,941689.0,,
140,0.684596577017115,0.207,,0.9468448802828788,,1.0821340382099152,,0.41434213519096375,0.00019608055139317933,,,,,,,,1094808.0,,
160,0.78239608801956,0.2227,,0.9478926852345466,,1.0735486671328545,,1.93430757522583,0.0001940913575739519,,,,,,,,1240343.0,,
180,0.8801955990220048,0.2002,,0.9506346434354782,,0.9996254697442055,,2.1240177154541016,0.0001917099409246652,,,,,,,,1394692.0,,
200,0.9779951100244498,0.2524,,0.93743976354599,,0.9803948923945427,,2.5751655101776123,0.00018894622845670283,,,,,,,,1559960.0,,
200,0.9779951100244498,,0.34630900621414185,,0.9224774552428204,,1.076171444809955,,,13.1382,55.335,3.501,,,,,,1559960.0,
220,1.0733496332518337,0.1208,,0.9639793298183343,,0.9644169241954119,,9.242192268371582,0.00018581174079378198,,,,,,,,1709741.0,,
240,1.1711491442542787,0.1023,,0.9682836070656776,,0.7959925621747971,,1.36409592628479,0.00018231954414786562,,,,,,,,1872401.0,,
260,1.2689486552567237,0.1195,,0.9716719269752503,,0.8473402932286263,,0.6630863547325134,0.00017848419585224015,,,,,,,,2026363.0,,
280,1.3667481662591687,0.1136,,0.9676759392023087,,0.8338814347982406,,1.1758480072021484,0.00017432168367880697,,,,,,,,2181980.0,,
300,1.4645476772616137,0.1218,,0.9690805599093437,,0.7796194836497307,,1.8131804466247559,0.00016984935919254408,,,,,,,,2338882.0,,
300,1.4645476772616137,,0.3192884624004364,,0.9306422148061835,,0.9383331174435823,,,13.1404,55.326,3.501,,,,,,2338882.0,
320,1.5623471882640587,0.0886,,0.9719114944338798,,0.8721710562705993,,0.917928159236908,0.00016508586542095341,,,,,,,,2491323.0,,
340,1.6601466992665037,0.0941,,0.9752883166074753,,0.6912022367119789,,0.5198145508766174,0.00016005105914000507,,,,,,,,2647629.0,,
360,1.7579462102689487,0.1059,,0.97255859375,,0.8347214072942734,,0.8615400195121765,0.00015476592810053212,,,,,,,,2804172.0,,
380,1.8557457212713935,0.1487,,0.9585267990827561,,0.9433448135852813,,1.822655439376831,0.00014925250354012098,,,,,,,,2958965.0,,
400,1.9535452322738385,0.0862,,0.9713460430502892,,0.9326525151729583,,0.8982142210006714,0.0001435337683451935,,,,,,,,3115839.0,,
