hf_id,total_training_seconds,total_training_minutes,total_steps,total_epochs,train_samples,val_samples,final_train_loss,final_train_accuracy,best_eval_loss,best_eval_accuracy,lora_r,lora_alpha,batch_size,grad_accum,effective_batch_size,lr,epochs_config,max_seq_len
codellama/CodeLlama-7b-hf,9706.7,161.78,1025,5.0,6535,727,0.0,0.0,nan,0.0,32,64,8,4,32,0.0001,5,1024
codellama/CodeLlama-7b-hf,8843.3,147.39,1025,5.0,6535,727,0.0,0.0,nan,0.0,32,64,8,4,32,0.0001,5,1024
