step,epoch,loss,eval_loss,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,num_tokens,eval_num_tokens,train_loss
20,0.09791921664626684,0.0,,0.0,,1.1537248436361551,,0.0,3.653846153846154e-05,,,,,,,,176055.0,,
40,0.19583843329253367,0.0,,0.0,,1.1247586023062468,,0.0,7.500000000000001e-05,,,,,,,,358843.0,,
60,0.2937576499388005,0.0,,0.0,,1.12391700707376,,0.0,9.99872299773906e-05,,,,,,,,541855.0,,
80,0.39167686658506734,0.0,,0.0,,1.1525308471173048,,0.0,9.981012554563904e-05,,,,,,,,718313.0,,
100,0.48959608323133413,0.0,,0.0,,1.1574435528367757,,0.0,9.942538601422635e-05,,,,,,,,891265.0,,
100,0.48959608323133413,,nan,,0.0,,1.3465813136362768,,,48.634,14.948,3.742,,,,,,891265.0,
120,0.587515299877601,0.0,,0.0,,1.1464577686041593,,0.0,9.883461518218083e-05,,,,,,,,1071328.0,,
140,0.6854345165238678,0.0,,0.0,,1.1283049184828997,,0.0,9.804027569658967e-05,,,,,,,,1257917.0,,
160,0.7833537331701347,0.0,,0.0,,1.1561460107564927,,0.0,9.704567878697594e-05,,,,,,,,1431959.0,,
180,0.8812729498164015,0.0,,0.0,,1.1385399743914604,,0.0,9.58549704623326e-05,,,,,,,,1613490.0,,
200,0.9791921664626683,0.0,,0.0,,1.1952050644904375,,0.0,9.447311422835142e-05,,,,,,,,1782331.0,,
200,0.9791921664626683,,nan,,0.0,,1.3465813136362768,,,103.6236,7.016,1.756,,,,,,1782331.0,
220,1.0734394124847002,0.0,,0.0,,1.0996121942222892,,0.0,9.290587039689099e-05,,,,,,,,1967851.0,,
240,1.171358629130967,0.0,,0.0,,1.154093500971794,,0.0,9.115977207393281e-05,,,,,,,,2143974.0,,
260,1.2692778457772338,0.0,,0.0,,1.160679093003273,,0.0,8.924209792612008e-05,,,,,,,,2317353.0,,
280,1.3671970624235006,0.0,,0.0,,1.1161168083548545,,0.0,8.716084183940348e-05,,,,,,,,2498127.0,,
300,1.4651162790697674,0.0,,0.0,,1.1398637220263481,,0.0,8.492467959627204e-05,,,,,,,,2678676.0,,
300,1.4651162790697674,,nan,,0.0,,1.3465813136362768,,,48.5533,14.973,3.748,,,,,,2678676.0,
320,1.5630354957160342,0.0,,0.0,,1.1603124909102918,,0.0,8.254293271047671e-05,,,,,,,,2850179.0,,
340,1.660954712362301,0.0,,0.0,,1.1362422809004784,,0.0,8.002552957000254e-05,,,,,,,,3034523.0,,
360,1.758873929008568,0.0,,0.0,,1.1332919508218766,,0.0,7.738296405026606e-05,,,,,,,,3217962.0,,
380,1.8567931456548348,0.0,,0.0,,1.1535568673163652,,0.0,7.462625177006049e-05,,,,,,,,3394328.0,,
400,1.9547123623011016,0.0,,0.0,,1.1871888373047113,,0.0,7.176688417259675e-05,,,,,,,,3564410.0,,
400,1.9547123623011016,,nan,,0.0,,1.3465813136362768,,,48.5166,14.985,3.751,,,,,,3564410.0,
420,2.0489596083231336,0.0,,0.0,,1.1067446822469884,,0.0,6.881678062305537e-05,,,,,,,,3742173.0,,
440,2.1468788249694004,0.0,,0.0,,1.1316438131034374,,0.0,6.5788238722332e-05,,,,,,,,3921724.0,,
460,2.244798041615667,0.0,,0.0,,1.1159770801663398,,0.0,6.2693883044095e-05,,,,,,,,4111048.0,,
480,2.342717258261934,0.0,,0.0,,1.1717919554561376,,0.0,5.954661250884703e-05,,,,,,,,4282576.0,,
500,2.440636474908201,0.0,,0.0,,1.1943782597780228,,0.0,5.635954661436261e-05,,,,,,,,4448585.0,,
500,2.440636474908201,,nan,,0.0,,1.3465813136362768,,,48.5632,14.97,3.748,,,,,,4448585.0,
520,2.5385556915544676,0.0,,0.0,,1.1276491276919842,,0.0,5.3145970746642684e-05,,,,,,,,4631083.0,,
540,2.6364749082007344,0.0,,0.0,,1.1442941550165415,,0.0,4.9919280799358504e-05,,,,,,,,4810041.0,,
560,2.734394124847001,0.0,,0.0,,1.1492487497627735,,0.0,4.669292733264102e-05,,,,,,,,4989092.0,,
580,2.832313341493268,0.0,,0.0,,1.1774098113179208,,0.0,4.3480359503991115e-05,,,,,,,,5157911.0,,
600,2.9302325581395348,0.0,,0.0,,1.12586285546422,,0.0,4.029496900503703e-05,,,,,,,,5344246.0,,
600,2.9302325581395348,,nan,,0.0,,1.3465813136362768,,,48.3651,15.032,3.763,,,,,,5344246.0,
620,3.0244798041615666,0.0,,0.0,,1.1592461184247749,,0.0,3.715003423783986e-05,,,,,,,,5512739.0,,
640,3.1223990208078334,0.0,,0.0,,1.1719021145254374,,0.0,3.4058664963450465e-05,,,,,,,,5682564.0,,
660,3.2203182374541,0.0,,0.0,,1.14690399505198,,0.0,3.103374765345156e-05,,,,,,,,5863620.0,,
680,3.318237454100367,0.0,,0.0,,1.1590203180909158,,0.0,2.808789177228934e-05,,,,,,,,6038216.0,,
700,3.416156670746634,0.0,,0.0,,1.1587743420153855,,0.0,2.5233377214318087e-05,,,,,,,,6214592.0,,
700,3.416156670746634,,nan,,0.0,,1.3465813136362768,,,48.3714,15.03,3.763,,,,,,6214592.0,
720,3.514075887392901,0.0,,0.0,,1.1511316165328025,,0.0,2.2482103114668174e-05,,,,,,,,6392765.0,,
740,3.611995104039168,0.0,,0.0,,1.1230309713631867,,0.0,1.9845538247321127e-05,,,,,,,,6575743.0,,
760,3.7099143206854346,0.0,,0.0,,1.1129355806857348,,0.0,1.7334673217158974e-05,,,,,,,,6760251.0,,
780,3.8078335373317014,0.0,,0.0,,1.1683016389608383,,0.0,1.4959974645276548e-05,,,,,,,,6938372.0,,
800,3.905752753977968,0.0,,0.0,,1.1451694499701262,,0.0,1.273134153853714e-05,,,,,,,,7119504.0,,
800,3.905752753977968,,nan,,0.0,,1.3465813136362768,,,48.5612,14.971,3.748,,,,,,7119504.0,
820,4.0,0.0,,0.0,,1.147992376383249,,0.0,1.0658064025246129e-05,,,,,,,,7293472.0,,
