hf_id,total_training_seconds,total_training_minutes,total_steps,total_epochs,train_samples,val_samples,final_train_loss,final_train_accuracy,best_eval_loss,best_eval_accuracy,lora_r,lora_alpha,batch_size,grad_accum,effective_batch_size,lr,epochs_config,max_seq_len
Qwen/Qwen2.5-Coder-7B,6889.4,114.82,1025,5.0,6535,727,0.0064,,0.15622563660144806,0,32,64,8,4,32,0.0001,5,1024
Qwen/Qwen2.5-Coder-7B,8206.4,136.77,1025,5.0,6535,727,0.0061,,0.1490374654531479,0.9648148148148148,32,64,8,4,32,0.0001,5,1024
