step,epoch,loss,eval_loss,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
20,0.09791921664626684,2.2698,,1.9726603031158447,3.653846153846154e-05,,,,,,,,
40,0.19583843329253367,0.6337,,3.1524510383605957,7.500000000000001e-05,,,,,,,,
60,0.2937576499388005,0.3206,,1.8680036067962646,9.99872299773906e-05,,,,,,,,
80,0.39167686658506734,0.1623,,0.636914074420929,9.981012554563904e-05,,,,,,,,
100,0.48959608323133413,0.1538,,0.5817631483078003,9.942538601422635e-05,,,,,,,,
100,0.48959608323133413,,0.2574274241924286,,,27.1494,26.778,3.352,,,,,
120,0.587515299877601,0.1828,,0.6405712962150574,9.883461518218083e-05,,,,,,,,
140,0.6854345165238678,0.1389,,2.129133939743042,9.804027569658967e-05,,,,,,,,
160,0.7833537331701347,0.1205,,0.8729760646820068,9.704567878697594e-05,,,,,,,,
180,0.8812729498164015,0.1017,,0.3514997363090515,9.58549704623326e-05,,,,,,,,
200,0.9791921664626683,0.1,,1.1420543193817139,9.447311422835142e-05,,,,,,,,
200,0.9791921664626683,,0.15622563660144806,,,27.1408,26.786,3.353,,,,,
220,1.0734394124847002,0.0783,,0.1483914852142334,9.290587039689099e-05,,,,,,,,
240,1.171358629130967,0.0434,,0.7047297358512878,9.115977207393281e-05,,,,,,,,
260,1.2692778457772338,0.0728,,0.37971243262290955,8.924209792612008e-05,,,,,,,,
280,1.3671970624235006,0.0576,,0.3988049626350403,8.716084183940348e-05,,,,,,,,
300,1.4651162790697674,0.065,,0.4752342402935028,8.492467959627204e-05,,,,,,,,
300,1.4651162790697674,,0.17520727217197418,,,27.1441,26.783,3.352,,,,,
320,1.5630354957160342,0.0564,,0.9898101687431335,8.254293271047671e-05,,,,,,,,
340,1.660954712362301,0.0556,,0.25328898429870605,8.002552957000254e-05,,,,,,,,
360,1.758873929008568,0.0454,,0.5481961965560913,7.738296405026606e-05,,,,,,,,
380,1.8567931456548348,0.0475,,0.1979929357767105,7.462625177006049e-05,,,,,,,,
400,1.9547123623011016,0.0412,,0.16581496596336365,7.176688417259675e-05,,,,,,,,
400,1.9547123623011016,,0.201222226023674,,,27.1137,26.813,3.356,,,,,
420,2.0489596083231336,0.0381,,0.37991541624069214,6.881678062305537e-05,,,,,,,,
440,2.1468788249694004,0.0225,,0.4598098695278168,6.5788238722332e-05,,,,,,,,
460,2.244798041615667,0.0327,,0.23968958854675293,6.2693883044095e-05,,,,,,,,
480,2.342717258261934,0.0283,,0.16742992401123047,5.954661250884703e-05,,,,,,,,
500,2.440636474908201,0.0233,,0.48143821954727173,5.635954661436261e-05,,,,,,,,
500,2.440636474908201,,0.19161027669906616,,,27.22,26.708,3.343,,,,,
520,2.5385556915544676,0.0253,,0.40890663862228394,5.3145970746642684e-05,,,,,,,,
540,2.6364749082007344,0.0271,,0.10636864602565765,4.9919280799358504e-05,,,,,,,,
560,2.734394124847001,0.0154,,0.2580466568470001,4.669292733264102e-05,,,,,,,,
580,2.832313341493268,0.0206,,0.13628694415092468,4.3480359503991115e-05,,,,,,,,
600,2.9302325581395348,0.0264,,0.20549829304218292,4.029496900503703e-05,,,,,,,,
600,2.9302325581395348,,0.20667296648025513,,,27.1484,26.779,3.352,,,,,
620,3.0244798041615666,0.0143,,0.12574167549610138,3.715003423783986e-05,,,,,,,,
640,3.1223990208078334,0.0105,,0.05538555979728699,3.4058664963450465e-05,,,,,,,,
660,3.2203182374541,0.0157,,0.20469552278518677,3.103374765345156e-05,,,,,,,,
680,3.318237454100367,0.0132,,0.3219988942146301,2.808789177228934e-05,,,,,,,,
700,3.416156670746634,0.0112,,0.05454225465655327,2.5233377214318087e-05,,,,,,,,
700,3.416156670746634,,0.2419450730085373,,,27.264,26.665,3.338,,,,,
720,3.514075887392901,0.0101,,0.36586257815361023,2.2482103114668174e-05,,,,,,,,
740,3.611995104039168,0.0116,,0.21358947455883026,1.9845538247321127e-05,,,,,,,,
760,3.7099143206854346,0.0169,,0.12737704813480377,1.7334673217158974e-05,,,,,,,,
780,3.8078335373317014,0.0118,,0.17944256961345673,1.4959974645276548e-05,,,,,,,,
800,3.905752753977968,0.0079,,0.02004602551460266,1.273134153853714e-05,,,,,,,,
800,3.905752753977968,,0.21914656460285187,,,27.2531,26.676,3.339,,,,,
820,4.0,0.01,,0.0009387044701725245,1.0658064025246129e-05,,,,,,,,
840,4.097919216646267,0.0053,,0.026704926043748856,8.748784628954348e-06,,,,,,,,
860,4.195838433292534,0.0108,,0.5353307723999023,7.011462241822525e-06,,,,,,,,
880,4.293757649938801,0.0043,,0.01361986342817545,5.453338947725029e-06,,,,,,,,
900,4.391676866585067,0.0098,,0.188886359333992,4.080909833391944e-06,,,,,,,,
900,4.391676866585067,,0.25373977422714233,,,27.1214,26.805,3.355,,,,,
920,4.489596083231334,0.0087,,0.32178276777267456,2.8998959134324657e-06,,,,,,,,
940,4.587515299877601,0.01,,0.220201313495636,1.915220282102731e-06,,,,,,,,
960,4.685434516523868,0.0077,,0.012949695810675621,1.1309875912301704e-06,,,,,,,,
980,4.783353733170134,0.0103,,0.0925082266330719,5.504669398412043e-07,,,,,,,,
1000,4.881272949816402,0.0134,,0.16335919499397278,1.760782468175015e-07,,,,,,,,
1000,4.881272949816402,,0.2535914480686188,,,27.1885,26.739,3.347,,,,,
1020,4.979192166462668,0.0064,,0.19055232405662537,9.382163386822962e-09,,,,,,,,
