step,epoch,loss,eval_loss,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,eval_accuracy,train_loss
20,0.09791921664626684,2.411,,1.518716812133789,3.653846153846154e-05,,,,,,,,,
40,0.19583843329253367,0.8217,,1.245354413986206,7.500000000000001e-05,,,,,,,,,
60,0.2937576499388005,0.3554,,1.4215033054351807,9.99872299773906e-05,,,,,,,,,
80,0.39167686658506734,0.2667,,1.2783399820327759,9.981012554563904e-05,,,,,,,,,
100,0.48959608323133413,0.1281,,0.9191097617149353,9.942538601422635e-05,,,,,,,,,
100,0.48959608323133413,,0.25957146286964417,,,44.7152,16.258,2.035,,,,,0.9301651695160823,
120,0.587515299877601,0.1099,,0.5502520203590393,9.883461518218083e-05,,,,,,,,,
140,0.6854345165238678,0.1564,,1.0161548852920532,9.804027569658967e-05,,,,,,,,,
160,0.7833537331701347,0.1209,,1.9240878820419312,9.704567878697594e-05,,,,,,,,,
180,0.8812729498164015,0.1087,,0.3831939101219177,9.58549704623326e-05,,,,,,,,,
200,0.9791921664626683,0.0743,,0.6943352222442627,9.447311422835142e-05,,,,,,,,,
200,0.9791921664626683,,0.1515880823135376,,,31.037,23.424,2.932,,,,,0.9640683859750797,
220,1.0734394124847002,0.0649,,0.33561214804649353,9.290587039689099e-05,,,,,,,,,
240,1.171358629130967,0.0516,,0.8549209237098694,9.115977207393281e-05,,,,,,,,,
260,1.2692778457772338,0.0558,,0.2980365455150604,8.924209792612008e-05,,,,,,,,,
280,1.3671970624235006,0.0621,,0.5007299780845642,8.716084183940348e-05,,,,,,,,,
300,1.4651162790697674,0.0378,,0.46528828144073486,8.492467959627204e-05,,,,,,,,,
300,1.4651162790697674,,0.15703502297401428,,,31.1046,23.373,2.926,,,,,0.9513184584178499,
320,1.5630354957160342,0.064,,0.4521256983280182,8.254293271047671e-05,,,,,,,,,
340,1.660954712362301,0.034,,0.22774086892604828,8.002552957000254e-05,,,,,,,,,
360,1.758873929008568,0.0476,,0.09073920547962189,7.738296405026606e-05,,,,,,,,,
380,1.8567931456548348,0.0303,,0.4092903137207031,7.462625177006049e-05,,,,,,,,,
400,1.9547123623011016,0.051,,0.11254926770925522,7.176688417259675e-05,,,,,,,,,
400,1.9547123623011016,,0.16471725702285767,,,31.3332,23.202,2.904,,,,,0.9542161692263113,
